SongName,Artist
Empty,Takamachi Walk
Deceiver,Takamachi Walk
Even Tears Withered,Tuyu
Happiness Egoist,ShinRa BanSho
Perhaps I Could Become The sun,Tuyu
Edmonton Market,E1
Fake Friends,E1
Narkissos Ni Sayonara,ShibayanRecords
Fall In The Dark,ShibayanRecords
Bulbel,Mili
Catch Wind,Takamachi Walk
Redeemer,Takamachi Walk
Hollow Hope,Takamachi Walk
Shallow,Takamachi Walk
A Desire to Disappear,Takamachi Walk
Timeless Dissonance,Takamachi Walk
Aion,Takamachi Walk
Anchor,Takamachi Walk
Being Low as Dirt Taking What's Important from Me,Tuyu
I'm Getting on the Bus to the Other World See Ya!,Tuyu
Goodbye to Rock You,Tuyu
Under Kids,Tuyu
echo of a lost child,ShibayanRecords
Cagayake! GIRLS,Houkago Tea Time
Don't say 'lazy',Houkago Tea Time
Fuwa Fuwa Time,Houkago Tea Time
Tenshi ni Fureta yo!,Houkago Tea Time
NO Thank You!,Houkago Tea Time
GO! GO! MANIAC,Houkago Tea Time
Utauyo!! MIRACLE,Houkago Tea Time
Listen!!,Houkago Tea Time
Pure Pure Heart,Houkago Tea Time
Ephemeral,Takamachi Walk
Whispering Breeze,Takamachi Walk
Lost in the Echo,Takamachi Walk
Sakura Rain,Takamachi Walk
Fading Memories,Takamachi Walk
Moonlit Serenade,Takamachi Walk
Silent Reverie,Takamachi Walk
Echoes of Tomorrow,Takamachi Walk
Nostalgic Melody,Takamachi Walk
Melancholy Waltz,ShibayanRecords
Stardust Lullaby,ShibayanRecords
Twilight Reverie,ShibayanRecords
Sakura Blossoms,ShibayanRecords
Whispers in the Wind,ShibayanRecords
Lunar Sonata,ShibayanRecords
Starlit Serenade,ShibayanRecords
Nebula Nocturne,ShibayanRecords
Cosmic Dreamscape,ShibayanRecords
Rhythm of Youth,Houkago Tea Time
Jam Session,Houkago Tea Time
Guitar Strings and Laughter,Houkago Tea Time
School Festival Groove,Houkago Tea Time
Rock 'n' Roll Afternoons,Houkago Tea Time
Harmony in the Clubroom,Houkago Tea Time
Strumming Memories,Houkago Tea Time
Bassline Beat,Houkago Tea Time
Encore Encore!,Houkago Tea Time
Seishun Complex,Kessoku Band
Distortion!!,Kessoku Band
Karakara,Kessoku Band
Guitar Loneliness and Blue Planet,Kessoku Band
That Band,Kessoku Band
What Is Wrong With,Kessoku Band
Never Forget,Kessoku Band
If I Could Be a Constellation,Kessoku Band
Rockn' Roll Morning Light Falls on You,Kessoku Band
Secret Base,Kessoku Band
I Can't Sing a Love Song,Kessoku Band
The Little Sea,Kessoku Band
Flashbacker,Kessoku Band
Byoshin o Kamu,Zutomayo
Tadashii Itsuwari Kara no Kisho,Zutomayo
Ima wa Ima de Chikai wa Emi de,Zutomayo
Hisohiso Banashi,Zutomayo
Gusare,Zutomayo
Kakurenbo,Zutomayo
Kimi to no Yakusoku,Zutomayo
Kan Saete Kuyashiiwa,Zutomayo
Kimi ni Sasageru Enburemu,Zutomayo
Yuusha,Yoasobi
Idol,Yoasobi
loveletter,Yoasobi
Monster,Yoasobi
Ano yume wo nazotte,Yoasobi
Yoru ni Kakeru,Yoasobi
HEART BEAT,Yoasobi
Into The Night,Yoasobi
Gunjou,Yoasobi
Probably,Yoasobi
The Blessing,Yoasobi
Mou sukoshi dake,Yoasobi
RGB,Yoasobi
Into The Night,Yoasobi
Encore,Yoasobi
Comet,Yoasobi
Haruka,Yoasobi
Adventure,Yoasobi
Blue,Yoasobi
Harujion,Yoasobi
The Brave,Yoasobi
Moshimo inochiga egaketara,Yoasobi
Epilogue,Yoasobi
Seventeen,Yoasobi
Just a Little Step,Yoasobi
sukida,Yoasobi
Tsubame,Yoasobi
Biri-Biri,Yoasobi
Romance,Yoasobi
Mr,Yoasobi
Umi No Manimani,Yoasobi
Interlude 'Awakening',Yoasobi
Comet,Yoasobi
Monster,Yoasobi
Haven't,Yoasobi
Halzion,Yoasobi
If I Could Draw Life,Yoasobi
The Swallow,Yoasobi
Prologue,Yoasobi
Tracing A Dream,Yoasobi
Encore,Yoasobi
Haruka,Yoasobi
Interlude 'Worship',Yoasobi
Love Letter,Yoasobi
Work Life Imbalance,C418
Smooth Fall,C418
Wet Hands,C418
Chris,C418
Aria Math,C418
Beginning,C418
Texture Prayers,C418
Sweden,C418
Dry Hands,C418
Match Cut,C418
Mice On Venus,C418
Blank Cubicle,C418
Thirteen,C418
Clark,C418
Far,C418
Minecraft,C418
Equinoxe,C418
Oxygene,C418
Keighley,C418
Moog City 2,C418
Imaginary Interlude,C418
Shuniji,C418
Click Forever,C418
Subwoofer Lullaby,C418
Ballad of the Cats,C418
Mutation,C418
Living Mice,C418
Moog City,C418
Haggstrom,C418
Click,C418
Grandmapocalypse,C418
Key,C418
Danny,C418
Alpha,C418
Ward,C418
Door,C418
Ascend,C418
Hover,C418
Axolotl,C418
Leak,C418
The President Is Dead,C418
Hope,C418
Atx,C418
Home,C418
Txl,C418
Aviva,C418
Excursions,C418
Ams,C418
Figure 8,C418
Cold Summer,C418
